method,attack,rank,Q@0.95P,Q@0.7P,Avg_P,Avg_Q
dct,Dist-JPEG,1,inf,inf,1.0,0.4912570833142939
dct,Dist-Contrast,2,inf,inf,1.0,0.46812328753460813
dct,Regen-VAE,3,inf,inf,1.0,0.45848909934640103
dct,Dist-Noise,4,inf,inf,1.0,0.4254313604481087
dct,Dist-Bright,5,inf,inf,1.0,0.3961483443891608
dct,Dist-Erase,6,inf,inf,1.0,0.39232557171101384
dct,DistCom-Photo,7,inf,inf,1.0,0.3826791079531298
dct,Regen-Diff,8,inf,inf,1.0,0.3807440801724392
dct,Rinse-2xDiff,9,inf,inf,1.0,0.3641420674191944
dct,DistCom-Deg,10,inf,inf,1.0,0.3095564061449933
dct,Rinse-4xDiff,11,inf,inf,1.0,0.30887438002412
dct,Dist-Blur,12,inf,inf,1.0,0.2878952568127616
dct,DistCom-All,13,0.5014241122006357,0.2945015313519632,0.5399999999999999,0.18443380816466073
dct,Dist-Rotation,14,0.49969325365383954,0.2639414914787586,0.5,0.18300407413916261
dct,Dist-RCrop,15,-inf,0.2865668776037874,0.6199999999999999,0.26936223124254377
dct,DistCom-Geo,16,-inf,0.2477201902224646,0.41999999999999993,0.14657523318103863
