Attack,Rank,Q@0.7P,Q@0.4P,Avg P,Avg Q,attack_key
Dist-Rotation,1,0.38698451868580136,0.38698451868580136,1.0,0.3311701240223677,distortion_single_rotation
Dist-RCrop,2,0.48721476537283454,0.48721476537283454,1.0,0.455303981584083,distortion_single_resizedcrop
Dist-Erase,3,0.9454364272772152,0.9454364272772152,1.0,0.8419773030126612,distortion_single_erasing
Dist-Bright,4,0.974232129824477,0.974232129824477,1.0,0.8335104275275306,distortion_single_brightness
Dist-Contrast,5,0.9834445366528008,0.9834445366528008,1.0,0.8634207787102328,distortion_single_contrast
Dist-Blur,6,0.5776539211735395,0.5776539211735395,1.0,0.5746027760849376,distortion_single_blurring
Dist-Noise,7,0.8475103727576446,0.8475103727576446,1.0,0.4855777933307854,distortion_single_noise
Dist-JPEG,8,0.8664228186523725,0.8664228186523725,1.0,0.7519557600786532,distortion_single_jpeg
Dist-Com-Geo,9,0.4351438378904835,0.4351438378904835,1.0,0.35482507578312966,distortion_combo_geometric
Dist-Com-Photo,10,0.9438887720712537,0.9438887720712537,1.0,0.6894273611150287,distortion_combo_photometric
Dist-Com-Deg,11,0.5104371261559951,0.5104371261559951,1.0,0.3162829106408612,distortion_combo_degradation
Dist-Com-All,12,0.47300112869960353,0.47300112869960353,1.0,0.2883870672519581,distortion_combo_all
Regen-Diffusion,13,0.859659874995723,0.859659874995723,1.0,0.6532621019189724,regen_diffusion
Regen-Diffusion&P,14,0.8456130180182597,0.8456130180182597,1.0,0.5532158479540688,regen_diffusion_prompt
Regen-VAE,15,0.859659874995723,0.859659874995723,1.0,0.6532621019189724,regen_vae
Regen-2xDiffusion,16,0.8569647891604942,0.8569647891604942,1.0,0.6085528605090812,2x_regen
Regen-4xDiffusion,17,0.8479708560625113,0.8479708560625113,1.0,0.5803863614822515,4x_regen
Regen-4xVAE,18,0.8479708560625113,0.8479708560625113,1.0,0.5803863614822515,4x_regen_bmshj
AdvEmb-RN18,19,0.8341966571396018,0.8341966571396018,1.0,0.6762568508353661,adv_emb_resnet18_untg
AdvEmb-CLIP,20,0.8341966571396018,0.8341966571396018,1.0,0.6762568508353661,adv_emb_clip_untg_alphaRatio_0.05_step_200
AdvEmb-KLVAE8,21,0.8341966571396018,0.8341966571396018,1.0,0.6762568508353661,adv_emb_same_vae_untg
AdvEmb-KLVAE16,22,0.8341966571396018,0.8341966571396018,1.0,0.6762568508353661,adv_emb_klf16_vae_untg
AdvEmb-SdxlVAE,23,0.8341966571396018,0.8341966571396018,1.0,0.6762568508353661,adv_emb_sdxl_vae_untg
AdvCls-UnWM-WM,24,0.7757935722245478,0.7757935722245478,1.0,0.5990581860191849,adv_cls_unwm_wm_0.01_50_warm_train3k
AdvCls-Real-WM,25,0.7757935722245478,0.7757935722245478,1.0,0.5990581860191849,adv_cls_real_wm_0.01_50_warm
AdvCls-WM1-WM2,26,0.7757935722245478,0.7757935722245478,1.0,0.5990581860191849,adv_cls_wm1_wm2_0.01_50_warm
