attack_key,attack_label,strength,P,Q,raw_similarity
distortion_single_rotation,Dist-Rotation,0.2,1.0,0.38698451868580136,1e-12
distortion_single_rotation,Dist-Rotation,0.4,1.0,0.3500642159248247,1e-12
distortion_single_rotation,Dist-Rotation,0.6,1.0,0.3229628566621787,1e-12
distortion_single_rotation,Dist-Rotation,0.8,1.0,0.3042207693183658,1e-12
distortion_single_rotation,Dist-Rotation,1.0,1.0,0.29161825952066783,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.2,1.0,0.48721476537283454,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.4,1.0,0.47921676707027017,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.6,1.0,0.47043678327381677,1e-12
distortion_single_resizedcrop,Dist-RCrop,0.8,1.0,0.43742325021230927,1e-12
distortion_single_resizedcrop,Dist-RCrop,1.0,1.0,0.4022283419911843,1e-12
distortion_single_erasing,Dist-Erase,0.2,1.0,0.9454364272772152,1e-12
distortion_single_erasing,Dist-Erase,0.4,1.0,0.8930918766838132,1e-12
distortion_single_erasing,Dist-Erase,0.6,1.0,0.8422520442094583,1e-12
distortion_single_erasing,Dist-Erase,0.8,1.0,0.790568210806274,1e-12
distortion_single_erasing,Dist-Erase,1.0,1.0,0.7385379560865449,1e-12
distortion_single_brightness,Dist-Bright,0.2,1.0,0.974232129824477,1e-12
distortion_single_brightness,Dist-Bright,0.4,1.0,0.9144507729068752,1e-12
distortion_single_brightness,Dist-Bright,0.6,1.0,0.839767949625996,1e-12
distortion_single_brightness,Dist-Bright,0.8,1.0,0.756878106854728,1e-12
distortion_single_brightness,Dist-Bright,1.0,1.0,0.6822231784255774,1e-12
distortion_single_contrast,Dist-Contrast,0.2,1.0,0.9834445366528008,1e-12
distortion_single_contrast,Dist-Contrast,0.4,1.0,0.9377335761214178,1e-12
distortion_single_contrast,Dist-Contrast,0.6,1.0,0.8706333457953607,1e-12
distortion_single_contrast,Dist-Contrast,0.8,1.0,0.7969945620148516,1e-12
distortion_single_contrast,Dist-Contrast,1.0,1.0,0.7282978729667329,1e-12
distortion_single_blurring,Dist-Blur,0.2,1.0,0.5776539211735395,1e-12
distortion_single_blurring,Dist-Blur,0.4,1.0,0.5741856478769969,1e-12
distortion_single_blurring,Dist-Blur,0.6,1.0,0.5738453965261776,1e-12
distortion_single_blurring,Dist-Blur,0.8,1.0,0.5736593277453585,1e-12
distortion_single_blurring,Dist-Blur,1.0,1.0,0.5736695871026155,1e-12
distortion_single_noise,Dist-Noise,0.2,1.0,0.8475103727576446,1e-12
distortion_single_noise,Dist-Noise,0.4,1.0,0.6071274901760537,1e-12
distortion_single_noise,Dist-Noise,0.6,1.0,0.42884836977372576,1e-12
distortion_single_noise,Dist-Noise,0.8,1.0,0.3111905537256823,1e-12
distortion_single_noise,Dist-Noise,1.0,1.0,0.23321218022082038,1e-12
distortion_single_jpeg,Dist-JPEG,0.2,1.0,0.8664228186523725,1e-12
distortion_single_jpeg,Dist-JPEG,0.4,1.0,0.8167979843934395,1e-12
distortion_single_jpeg,Dist-JPEG,0.6,1.0,0.774780693721648,1e-12
distortion_single_jpeg,Dist-JPEG,0.8,1.0,0.711045178430302,1e-12
distortion_single_jpeg,Dist-JPEG,1.0,1.0,0.5907321251955038,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.2,1.0,0.4351438378904835,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.4,1.0,0.39905000080055014,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.6,1.0,0.32136484351318184,1e-12
distortion_combo_geometric,Dist-Com-Geo,0.8,1.0,0.3097973642353918,1e-12
distortion_combo_geometric,Dist-Com-Geo,1.0,1.0,0.3087693324760411,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.2,1.0,0.9438887720712537,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.4,1.0,0.8150914006930314,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.6,1.0,0.6696493952236835,1e-12
distortion_combo_photometric,Dist-Com-Photo,0.8,1.0,0.5513411425617275,1e-12
distortion_combo_photometric,Dist-Com-Photo,1.0,1.0,0.4671660950254472,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.2,1.0,0.5104371261559951,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.4,1.0,0.36775859954464113,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.6,1.0,0.2559334881041649,1e-12
distortion_combo_degradation,Dist-Com-Deg,0.8,1.0,0.2055055523018718,1e-12
distortion_combo_degradation,Dist-Com-Deg,1.0,1.0,0.24177978709763326,1e-12
distortion_combo_all,Dist-Com-All,0.2,1.0,0.47300112869960353,1e-12
distortion_combo_all,Dist-Com-All,0.4,1.0,0.36969873248248314,1e-12
distortion_combo_all,Dist-Com-All,0.6,1.0,0.258252628854727,1e-12
distortion_combo_all,Dist-Com-All,0.8,1.0,0.18783868791640307,1e-12
distortion_combo_all,Dist-Com-All,1.0,1.0,0.15314415830657382,1e-12
regen_diffusion,Regen-Diffusion,0.2,1.0,0.859659874995723,1e-12
regen_diffusion,Regen-Diffusion,0.4,1.0,0.7744781962478813,1e-12
regen_diffusion,Regen-Diffusion,0.6,1.0,0.6656851262906762,1e-12
regen_diffusion,Regen-Diffusion,0.8,1.0,0.5400966604392349,1e-12
regen_diffusion,Regen-Diffusion,1.0,1.0,0.4263906516213465,1e-12
regen_diffusion_prompt,Regen-Diffusion&P,0.2,1.0,0.8456130180182597,1e-12
regen_diffusion_prompt,Regen-Diffusion&P,0.4,1.0,0.7026048682846608,1e-12
regen_diffusion_prompt,Regen-Diffusion&P,0.6,1.0,0.5212197670478922,1e-12
regen_diffusion_prompt,Regen-Diffusion&P,0.8,1.0,0.39257893949458905,1e-12
regen_diffusion_prompt,Regen-Diffusion&P,1.0,1.0,0.30406264692494167,1e-12
regen_vae,Regen-VAE,0.2,1.0,0.859659874995723,1e-12
regen_vae,Regen-VAE,0.4,1.0,0.7744781962478813,1e-12
regen_vae,Regen-VAE,0.6,1.0,0.6656851262906762,1e-12
regen_vae,Regen-VAE,0.8,1.0,0.5400966604392349,1e-12
regen_vae,Regen-VAE,1.0,1.0,0.4263906516213465,1e-12
2x_regen,Regen-2xDiffusion,0.2,1.0,0.8569647891604942,1e-12
2x_regen,Regen-2xDiffusion,0.4,1.0,0.7503388032487874,1e-12
2x_regen,Regen-2xDiffusion,0.6,1.0,0.5794900537674468,1e-12
2x_regen,Regen-2xDiffusion,0.8,1.0,0.4636540729239086,1e-12
2x_regen,Regen-2xDiffusion,1.0,1.0,0.3923165834447689,1e-12
4x_regen,Regen-4xDiffusion,0.2,1.0,0.8479708560625113,1e-12
4x_regen,Regen-4xDiffusion,0.4,1.0,0.7009268944090429,1e-12
4x_regen,Regen-4xDiffusion,0.6,1.0,0.5276699725701527,1e-12
4x_regen,Regen-4xDiffusion,0.8,1.0,0.43800264907771613,1e-12
4x_regen,Regen-4xDiffusion,1.0,1.0,0.3873614352918349,1e-12
4x_regen_bmshj,Regen-4xVAE,0.2,1.0,0.8479708560625113,1e-12
4x_regen_bmshj,Regen-4xVAE,0.4,1.0,0.7009268944090429,1e-12
4x_regen_bmshj,Regen-4xVAE,0.6,1.0,0.5276699725701527,1e-12
4x_regen_bmshj,Regen-4xVAE,0.8,1.0,0.43800264907771613,1e-12
4x_regen_bmshj,Regen-4xVAE,1.0,1.0,0.3873614352918349,1e-12
adv_emb_resnet18_untg,AdvEmb-RN18,0.2,1.0,0.8341966571396018,1e-12
adv_emb_resnet18_untg,AdvEmb-RN18,0.4,1.0,0.7522138057958788,1e-12
adv_emb_resnet18_untg,AdvEmb-RN18,0.6,1.0,0.6707071042398421,1e-12
adv_emb_resnet18_untg,AdvEmb-RN18,0.8,1.0,0.5955148145888237,1e-12
adv_emb_resnet18_untg,AdvEmb-RN18,1.0,1.0,0.5286518724126845,1e-12
adv_emb_clip_untg_alphaRatio_0.05_step_200,AdvEmb-CLIP,0.2,1.0,0.8341966571396018,1e-12
adv_emb_clip_untg_alphaRatio_0.05_step_200,AdvEmb-CLIP,0.4,1.0,0.7522138057958788,1e-12
adv_emb_clip_untg_alphaRatio_0.05_step_200,AdvEmb-CLIP,0.6,1.0,0.6707071042398421,1e-12
adv_emb_clip_untg_alphaRatio_0.05_step_200,AdvEmb-CLIP,0.8,1.0,0.5955148145888237,1e-12
adv_emb_clip_untg_alphaRatio_0.05_step_200,AdvEmb-CLIP,1.0,1.0,0.5286518724126845,1e-12
adv_emb_same_vae_untg,AdvEmb-KLVAE8,0.2,1.0,0.8341966571396018,1e-12
adv_emb_same_vae_untg,AdvEmb-KLVAE8,0.4,1.0,0.7522138057958788,1e-12
adv_emb_same_vae_untg,AdvEmb-KLVAE8,0.6,1.0,0.6707071042398421,1e-12
adv_emb_same_vae_untg,AdvEmb-KLVAE8,0.8,1.0,0.5955148145888237,1e-12
adv_emb_same_vae_untg,AdvEmb-KLVAE8,1.0,1.0,0.5286518724126845,1e-12
adv_emb_klf16_vae_untg,AdvEmb-KLVAE16,0.2,1.0,0.8341966571396018,1e-12
adv_emb_klf16_vae_untg,AdvEmb-KLVAE16,0.4,1.0,0.7522138057958788,1e-12
adv_emb_klf16_vae_untg,AdvEmb-KLVAE16,0.6,1.0,0.6707071042398421,1e-12
adv_emb_klf16_vae_untg,AdvEmb-KLVAE16,0.8,1.0,0.5955148145888237,1e-12
adv_emb_klf16_vae_untg,AdvEmb-KLVAE16,1.0,1.0,0.5286518724126845,1e-12
adv_emb_sdxl_vae_untg,AdvEmb-SdxlVAE,0.2,1.0,0.8341966571396018,1e-12
adv_emb_sdxl_vae_untg,AdvEmb-SdxlVAE,0.4,1.0,0.7522138057958788,1e-12
adv_emb_sdxl_vae_untg,AdvEmb-SdxlVAE,0.6,1.0,0.6707071042398421,1e-12
adv_emb_sdxl_vae_untg,AdvEmb-SdxlVAE,0.8,1.0,0.5955148145888237,1e-12
adv_emb_sdxl_vae_untg,AdvEmb-SdxlVAE,1.0,1.0,0.5286518724126845,1e-12
adv_cls_unwm_wm_0.01_50_warm_train3k,AdvCls-UnWM-WM,0.2,1.0,0.7757935722245478,1e-12
adv_cls_unwm_wm_0.01_50_warm_train3k,AdvCls-UnWM-WM,0.4,1.0,0.677597653001456,1e-12
adv_cls_unwm_wm_0.01_50_warm_train3k,AdvCls-UnWM-WM,0.6,1.0,0.5878201391202145,1e-12
adv_cls_unwm_wm_0.01_50_warm_train3k,AdvCls-UnWM-WM,0.8,1.0,0.5100180459576891,1e-12
adv_cls_unwm_wm_0.01_50_warm_train3k,AdvCls-UnWM-WM,1.0,1.0,0.44406151979201713,1e-12
adv_cls_real_wm_0.01_50_warm,AdvCls-Real-WM,0.2,1.0,0.7757935722245478,1e-12
adv_cls_real_wm_0.01_50_warm,AdvCls-Real-WM,0.4,1.0,0.677597653001456,1e-12
adv_cls_real_wm_0.01_50_warm,AdvCls-Real-WM,0.6,1.0,0.5878201391202145,1e-12
adv_cls_real_wm_0.01_50_warm,AdvCls-Real-WM,0.8,1.0,0.5100180459576891,1e-12
adv_cls_real_wm_0.01_50_warm,AdvCls-Real-WM,1.0,1.0,0.44406151979201713,1e-12
adv_cls_wm1_wm2_0.01_50_warm,AdvCls-WM1-WM2,0.2,1.0,0.7757935722245478,1e-12
adv_cls_wm1_wm2_0.01_50_warm,AdvCls-WM1-WM2,0.4,1.0,0.677597653001456,1e-12
adv_cls_wm1_wm2_0.01_50_warm,AdvCls-WM1-WM2,0.6,1.0,0.5878201391202145,1e-12
adv_cls_wm1_wm2_0.01_50_warm,AdvCls-WM1-WM2,0.8,1.0,0.5100180459576891,1e-12
adv_cls_wm1_wm2_0.01_50_warm,AdvCls-WM1-WM2,1.0,1.0,0.44406151979201713,1e-12
