method,attack,strength,P,Q_gen,FID,CLIP_FID,aesthetics_delta,artifacts
flexible,Dist-Blur,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,Dist-Blur,0.25,1.0,0.2939741252812781,570.6275845999473,113.2138964603757,nan,nan
flexible,Dist-Blur,0.5,0.0,0.1909944657818736,588.5281836549681,119.42566344096696,nan,nan
flexible,Dist-Blur,0.75,0.0,0.20173230414815949,535.7196914948001,124.15318372013148,nan,nan
flexible,Dist-Blur,1.0,0.0,0.2759490203447542,566.3789341779047,115.31627086539612,nan,nan
flexible,Dist-Bright,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,Dist-Bright,0.25,1.0,0.3715373227916483,439.97154217054106,121.34036773601012,nan,nan
flexible,Dist-Bright,0.5,1.0,0.30233976901077386,509.192257221813,119.3178136666952,nan,nan
flexible,Dist-Bright,0.75,1.0,0.14735738592708694,586.3475234549938,122.9589289769096,nan,nan
flexible,Dist-Bright,1.0,1.0,0.08614339841607921,594.1793543208796,126.77271877717968,nan,nan
flexible,Dist-Contrast,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,Dist-Contrast,0.25,1.0,0.31059011383297164,459.82473106459264,123.87267698062499,nan,nan
flexible,Dist-Contrast,0.5,1.0,0.3137604071245377,437.4717450504906,125.97787337133218,nan,nan
flexible,Dist-Contrast,0.75,1.0,0.3545600389103068,434.02199118509367,123.25021894395107,nan,nan
flexible,Dist-Contrast,1.0,1.0,0.2303377146886733,476.63901087932254,128.1857370252115,nan,nan
flexible,Dist-Erase,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,Dist-Erase,0.25,1.0,0.2757055670755836,460.58515585885004,126.43456823298531,nan,nan
flexible,Dist-Erase,0.5,1.0,0.04750159252999475,726.0522030580834,128.8399692444848,nan,nan
flexible,Dist-Erase,0.75,1.0,0.18410909814843562,559.2397729935952,123.0200003589609,nan,nan
flexible,Dist-Erase,1.0,1.0,0.29406948238856706,442.78515158995623,126.91151114525053,nan,nan
flexible,Dist-JPEG,0.0,1.0,0.29063048347547166,464.47638493619564,124.89609377007585,nan,nan
flexible,Dist-JPEG,0.25,1.0,0.30258692178113195,461.519163298039,124.30094898033232,nan,nan
flexible,Dist-JPEG,0.5,1.0,0.24973117339914644,525.7988498636322,121.55930345599067,nan,nan
flexible,Dist-JPEG,0.75,1.0,0.30529201179162346,484.27236474410006,121.70884149924568,nan,nan
flexible,Dist-JPEG,1.0,1.0,0.3269074809751995,466.68757691482796,121.9169760626058,nan,nan
flexible,Dist-Noise,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,Dist-Noise,0.25,1.0,0.28816202764289073,504.5368382058478,120.8798860406481,nan,nan
flexible,Dist-Noise,0.5,1.0,0.328524304587974,514.8847308596376,116.73770459293699,nan,nan
flexible,Dist-Noise,0.75,1.0,0.35273407192104145,510.3542890307409,115.37972345266374,nan,nan
flexible,Dist-Noise,1.0,1.0,0.26356446203911565,564.6349801510539,116.43708195322162,nan,nan
flexible,Dist-RCrop,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,Dist-RCrop,0.25,0.0,0.2375111502860442,458.1861911661948,129.5785859303671,nan,nan
flexible,Dist-RCrop,0.5,0.0,0.11366676912839876,520.3266812309928,133.5803975587966,nan,nan
flexible,Dist-RCrop,0.75,0.0,0.36536362816307977,427.19735610509633,123.14814328223498,nan,nan
flexible,Dist-RCrop,1.0,0.0,0.04178668459889967,572.5843603461061,132.3974273996859,nan,nan
flexible,Dist-Rotation,0.0,1.0,0.29213382342371474,464.29228738668354,124.8015669954775,nan,nan
flexible,Dist-Rotation,0.25,0.0,0.0813271180872944,555.9195225110554,131.1516512055124,nan,nan
